City,Hour,Temperature
Niš,1.25,-3.8219401041666674
Niš,1.46,-3.6309519781427246
Niš,1.67,-3.4241775708161915
Niš,1.88,-3.2001871214207913
Niš,2.09,-2.9465573338181823
Niš,2.29,-2.6641731922852414
Niš,2.49,-2.343981568080531
Niš,2.70,-1.9820766525440003
Niš,2.91,-1.5837843511723992
Niš,3.11,-1.1522708717178771
Niš,3.32,-0.689694849059844
Niš,3.52,-0.21739054120382661
Niš,3.72,0.2828194216958355
Niš,3.93,0.7901788584608216
Niš,4.14,1.3000460754672858
Niš,4.34,1.7941396138799748
Niš,4.54,2.280747968831224
Niš,4.75,2.7626189783316635
Niš,4.96,3.2326729734672206
Niš,5.16,3.700528690460853
Niš,5.37,4.177507300861212
Niš,5.57,4.664580407864134
Niš,8.05,9.783907624212292
Niš,8.26,10.01763164733449
Niš,8.46,10.22616683488373
Niš,8.67,10.416605749876705
Niš,8.87,10.596028897611397
Niš,9.08,10.773937970282292
Niš,9.29,10.955232019022823
Niš,9.49,11.141609894488472
Niš,9.69,11.344540915772598
Niš,9.90,11.558951487427777
Niš,10.10,11.773566190933334
Niš,10.31,11.998426721646737
Niš,10.51,12.239292294913387
Niš,10.71,12.495310440205284
Niš,10.92,12.78356923664736
Niš,11.12,13.102466778151062
Niš,11.33,13.448648392647698
Niš,11.54,13.824778199978123
Niš,11.74,14.2244666180597
Niš,11.95,14.6459235738686
Niš,12.15,14.567099138930782
Niš,12.36,14.326369493603334
Niš,12.56,14.09585473925026
Niš,12.77,13.857931138360499
Niš,12.97,13.612386451587433
Niš,13.18,13.352397235675625
Niš,13.39,13.074271359367373
Niš,13.59,12.770813804784854
Niš,13.80,12.442247358331194
Niš,15.44,8.99267560439859
Niš,15.64,8.51394729242445
Niš,15.85,8.009989634012873
Niš,16.05,7.508324261958027
Niš,16.25,7.00450910229317
Niš,16.46,6.509765651366164
Niš,16.66,6.030542857270136
Niš,16.86,5.57379316943466
Niš,17.06,5.1421900324980605
Niš,17.27,4.744082102158407
Niš,17.47,4.380352770497618
Niš,17.68,4.049670598450199
Niš,17.88,3.7602510188179945
Niš,18.09,3.5056279647571458
Niš,18.29,3.2797941772604595
Niš,18.49,3.0785420624955417
Niš,18.69,2.8939883877947192
Niš,18.90,2.717700773662428
Niš,19.10,2.5427485723306686
Niš,19.30,2.362914833094197
Niš,19.51,2.173303979980097
Niš,19.71,1.9716738589625438
Niš,19.91,1.7599550492485427
Niš,20.12,1.5420087561637343
Niš,20.32,1.3299287806211968
Niš,20.53,1.129772171377505
Niš,20.73,0.9429867216620043
Niš,20.93,0.764246013473608
Niš,21.13,0.5894880407585132
Niš,21.33,0.4137524881225909
Niš,21.54,0.22655096490524507
Niš,21.74,0.022741861269643948
Niš,21.94,-0.2060087555858594
Niš,22.15,-0.4645579968018225
Niš,22.35,-0.7570378729302565
Niš,22.55,-1.0871978117606522
Niš,22.75,-1.453680345103959
Niš,22.96,-1.8539880447022905
Niš,23.16,-2.2879854938540465
Niš,23.36,-2.7492025442363155
Niš,23.57,-3.2303901100910357
Niš,23.77,-3.7252999390107124
Niš,23.97,-4.22745671372342
Niš,0.17,-4.8146772394438235
Niš,0.38,-4.603803048114193
Niš,0.58,-4.407958062526414
Niš,0.79,-4.221717974242639
Niš,0.99,-4.044812439008124
Niš,1.19,-3.869979425029938
Niš,1.40,-3.6905448079309173
